Respondent,State,Internet_use,Age,Weight
798,51,1,77,0.5571872
1017,39,1,59,0.9872091
1181,32,1,60,0.9251474
1388,4,1,73,0.3110796
1664,12,1,65,0.3965482
1885,9,1,62,0.5706725
2563,6,1,70,0.8154956
3010,6,2,94,0.3110796
3015,9,1,65,1.7776797
3590,48,1,99,0.4546581
4430,36,1,55,0.4442605
4727,27,1,80,0.8467916
5161,12,1,68,0.5093838
5707,35,1,79,0.3110796
5828,34,1,49,0.9176609
6126,29,2,77,1.4518202
6205,34,1,72,0.6193746
7038,17,1,75,0.5225334
7104,36,1,55,2.2980549
7316,24,1,39,1.1232398
7446,17,1,65,0.4443426
7964,32,1,70,1.4333793
8085,36,1,99,0.4779112
8202,9,1,80,0.4340404
8755,37,1,63,1.7533617
8974,42,1,74,1.0121513
9008,29,1,59,0.463732
9327,6,1,83,0.3190727
9488,17,1,99,0.3110798
9806,24,1,75,0.5093838
9937,40,2,86,0.9867427
10067,36,2,70,0.3110796
10170,17,1,70,0.3578294
10398,27,1,83,0.5345498
10528,36,1,64,0.3110796
10655,8,1,82,0.3177075
10657,35,1,66,0.3110796
10774,13,1,71,1.5002364
11046,48,2,79,1.8572386
11093,48,1,74,0.5964591
11960,27,1,73,0.4372871
12098,12,1,20,0.7260477
12116,26,1,87,0.3495444
12150,18,1,68,0.3110798
12153,25,1,70,1.2908643
12918,35,1,69,0.3882559
13323,5,2,99,0.9629045
13441,12,1,55,0.3110796
13520,36,1,81,0.7429131
13868,6,1,91,0.3177075
13929,25,1,61,0.5706725
13982,34,1,75,0.3399793
14448,25,1,99,0.5354357
14787,6,1,39,0.9435103
14940,40,1,75,0.6809131
15135,48,1,84,1.349158
15496,12,1,67,0.45187
15719,18,1,73,1.6243557
15747,42,1,65,0.3319994
15842,28,1,99,0.3110796
16143,6,1,99,0.3462197
16452,34,1,75,0.3378943
16506,31,1,68,0.5358988
16533,29,1,66,0.9294293
16905,39,1,60,0.7029168
16973,29,1,73,0.3110796
17403,22,1,65,0.5856251
17637,29,1,61,0.6218483
17874,55,1,86,0.6633408
17899,48,1,81,1.349158
18045,50,2,70,1.0372087
18080,1,1,99,0.6644634
18399,6,2,75,0.5323565
18566,17,1,60,0.3804661
18588,48,1,64,0.4690787
18729,36,1,69,0.4271485
18835,53,1,62,1.065276
18909,24,2,83,0.842841
18915,36,1,57,0.4216805
18944,42,1,86,0.3110796
19818,24,2,82,2.4596811
19846,36,2,99,0.3110796
20029,26,2,60,0.7220178
20544,36,1,60,0.3110796
20949,37,1,82,0.5139279
21107,30,1,83,0.3110796
21684,13,2,83,0.7259793
22013,49,1,50,0.5699176
22093,39,1,31,0.5762098
22354,39,1,53,0.7936091
22519,6,1,60,0.5187119
22575,26,1,70,1.0443519
22600,42,1,55,1.1719874
22720,4,1,73,0.3110796
22740,6,1,78,0.4758107
22771,42,2,68,0.6939267
22872,12,1,79,0.5917705
23190,6,1,27,2.4596811
23545,36,1,64,0.6964432
23657,6,1,68,0.4343966
23784,1,1,71,0.4063653
23823,20,1,79,0.4144898
23998,13,1,44,0.7352149
24024,22,2,89,2.4198629
24158,12,1,89,1.3165644
24774,6,2,82,0.6752695
25171,27,1,71,0.491357
25178,47,1,81,0.6809131
25195,48,1,76,0.9864045
26330,35,1,82,0.4758107
26810,6,1,73,0.4117501
26947,25,1,74,1.0917257
27099,26,1,71,0.9069757
27135,50,1,87,0.3110796
27643,19,2,60,1.1053073
27722,6,1,77,0.534644
27760,37,1,64,0.6441201
28034,42,1,40,0.9191481
28458,36,1,37,0.9191481
28742,36,1,63,0.6964432
28979,18,1,99,0.5481445
28994,5,2,65,1.6563285
29199,34,1,57,1.447001
29222,40,1,70,1.349158
29861,50,2,88,0.3462595
29949,40,1,55,0.3146556
29983,6,2,53,2.4596811
30244,54,2,81,2.4596811
30550,9,1,42,0.9266545
30815,27,1,89,0.5530343
31663,39,1,54,0.8776483
31681,12,1,72,0.3110796
31725,31,1,64,0.6218483
31741,17,1,75,0.6797629
32075,39,1,62,0.7086014
32122,51,1,77,0.9705031
32192,29,1,66,0.491357
32227,49,1,99,0.3110796
32237,6,1,70,0.3110796
32574,25,2,83,0.3110796
33248,42,1,78,0.5354357
33497,36,1,70,0.4799648
34009,29,2,94,0.5358988
34361,21,1,65,0.485973
34522,6,1,70,1.0309166
34891,31,1,61,0.3385988
34974,6,1,71,2.4596811
35074,9,1,66,0.5354357
35126,55,1,64,0.3110796
35951,51,1,62,0.3846422
36498,38,1,84,0.3198216
36540,53,1,74,0.4362632
36672,12,1,62,0.5593912
36816,37,2,87,2.2148159
37278,54,1,74,0.3110796
37578,45,2,76,1.1283323
37827,37,1,65,0.3623685
38074,18,2,86,2.0675875
38629,13,1,44,0.9346088
38660,9,1,71,0.8971858
38724,17,1,69,1.846497
39082,12,1,86,0.9864045
39116,48,2,97,0.5754082
39460,51,1,58,0.3146556
39757,45,1,73,0.6164342
39878,2,1,70,0.4758107
40315,36,1,74,0.9125145
40513,6,1,99,0.4949986
40521,41,1,74,1.1301848
40614,51,1,35,0.7138763
40713,55,1,80,0.602162
40928,55,1,61,1.3479367
41372,47,2,84,0.3110796
41522,48,1,66,0.4063653
41526,31,1,52,1.2664454
41648,21,1,34,1.2948026
41830,12,1,76,0.3248272
42002,36,1,63,1.1719874
42222,53,1,62,0.5657917
42678,19,1,69,0.4267229
42920,27,1,75,0.3480488
43064,36,1,33,2.0614954
43580,1,1,79,0.4980039
43777,12,1,39,1.0066109
43915,37,2,73,0.6293605
43919,10,1,62,0.7043088
44253,27,1,70,0.4372871
44775,35,1,66,1.7563128
44865,51,2,72,0.8637068
45011,8,1,68,0.3110796
45020,53,1,93,0.3680148
45348,37,1,61,0.3110796
45482,53,1,65,0.3190727
45484,6,1,72,0.4362632
46144,48,1,81,0.4980039
46712,42,1,61,2.4596811
46763,39,1,84,0.3899423
46829,48,1,67,0.4063653
46987,12,1,73,1.6911858
47551,41,1,36,1.3264676
47586,24,1,57,0.3498906
48000,6,1,59,0.8716363
48228,53,1,70,2.4596811
48718,12,1,66,0.5917705
48724,12,1,77,0.8535329
48923,9,1,57,0.3110796
48965,42,1,80,0.6984467
49562,49,1,45,1.1130562
49853,36,1,73,1.0095445
49968,40,1,62,0.7423071
50006,48,1,71,0.3110796
50070,26,1,85,0.4009002
50087,37,1,70,0.8257875
50343,42,2,90,0.4529961
50666,17,1,65,0.4044764
50763,54,1,71,0.3110796
50770,12,2,83,1.4384517
51003,47,1,59,0.6584942
51211,12,1,50,1.0440104
51353,5,1,60,0.3110796
51398,32,1,69,0.3110796
51539,55,1,77,0.491357
51714,36,1,70,0.4779112
52052,4,1,81,0.942769
52384,34,1,80,0.9802472
52415,37,2,60,0.5921805
52556,12,2,84,0.7571616
52643,17,1,98,0.3110796
52755,13,2,62,0.8765889
53008,13,1,54,2.1515484
53087,48,1,80,0.3623685
53249,21,2,67,1.349158
53987,48,1,70,0.5139279
54126,42,1,80,0.5354357
54141,51,1,65,0.520313
54530,6,1,65,0.9754919
54718,55,1,81,0.491357
55334,37,1,99,0.6293605
55544,34,1,43,1.1327077
55589,5,1,66,0.4063653
55653,41,2,80,0.6035439
56163,39,1,83,0.602162
56220,36,2,55,0.4787323
56456,34,1,99,0.3399793
56588,10,1,49,0.8730116
56767,53,1,55,1.237514
56825,12,1,64,0.9682991
56920,22,1,70,0.3623685
57196,27,1,64,0.6218483
57224,53,1,75,0.3110796
57273,37,1,60,0.3535622
57281,25,1,50,1.0974053
57761,23,1,71,0.3124064
57840,16,1,63,0.3849328
58174,17,1,76,0.9324576
58234,27,1,61,1.0116491
58417,24,1,67,0.4566118
58541,53,1,70,0.927253
58646,1,1,46,0.9388753
59089,8,1,66,0.3190727
59164,54,2,67,2.3510996
59551,18,1,74,0.5530343
59640,27,1,76,1.4518202
59987,48,1,53,0.768111
60099,53,1,67,0.3110796
60708,25,2,80,0.3110796
60850,29,1,62,0.3110796
60990,53,1,29,2.4596811
61263,21,1,70,0.6644634
61302,41,1,65,0.6163359
61636,48,1,80,0.3248272
62176,42,2,84,0.9108383
62547,46,1,51,0.6020452
62581,21,1,65,0.6809131
62638,55,1,74,0.491357
62898,47,2,97,2.4596811
62902,47,1,37,1.1754384
63266,36,1,62,1.4898362
63336,6,1,63,0.8234759
63340,6,1,65,0.6947828
63413,29,1,61,0.6168597
63513,13,1,82,0.3339552
63609,32,1,70,0.3788762
63842,6,1,88,0.4643158
64216,36,1,62,2.3221701
64506,8,1,78,0.6348519
64711,34,1,65,1.1604714
65408,20,1,64,0.3304187
65613,6,1,79,0.5889632
65853,42,1,50,0.9768984
66669,47,1,54,1.8765584
67073,37,2,85,0.5595814
67166,36,1,63,0.3537442
67527,4,2,70,2.4596811
67621,39,1,53,2.0693444
100265,28,1,66,0.5139279
100409,48,1,24,1.2854972
100535,42,1,43,1.1021945
100577,17,1,47,1.1001404
100608,46,1,49,0.9399602
100634,48,2,78,0.4890317
100657,4,1,52,0.5699176
100671,54,1,49,0.6545816
100699,4,1,28,1.0416746
100720,6,1,20,1.9258167
100850,40,1,42,1.5855617
100949,18,2,72,0.6368004
101145,6,1,44,1.3838746
101318,8,1,19,2.4596811
101329,32,1,74,0.679927
101498,9,1,38,0.8276875
101501,24,1,22,1.5321882
101611,48,1,20,0.7229412
101620,16,1,23,0.4646119
101673,13,1,48,0.9812442
101753,22,1,72,0.485973
101801,18,1,48,1.4946008
101864,13,1,26,1.3666559
101978,36,1,26,1.3070411
102030,42,1,58,0.3768905
102051,34,1,49,1.0976906
102132,19,1,35,0.943817
102272,48,1,45,0.8395986
102387,26,1,50,1.0820511
102493,29,1,39,0.9210159
102656,55,1,99,0.6372431
102796,36,1,38,1.4181633
102802,12,1,42,1.3696708
102821,40,1,60,1.0068616
102925,25,1,65,0.6101336
102972,37,1,60,0.9087894
103000,40,1,24,0.5458524
103006,5,1,43,1.133328
103090,18,1,52,1.1303846
103211,20,1,59,0.8281418
103228,8,1,56,1.2210893
103457,37,1,36,1.8893264
103461,42,1,60,0.4440338
103501,36,2,68,0.7461053
103567,48,1,70,0.3110796
103672,12,1,21,1.9164104
103693,6,1,41,0.8947765
103734,1,1,40,1.2283669
103742,22,1,24,0.8579984
103745,40,1,60,0.6898532
103852,12,1,51,1.4841269
103875,17,1,49,0.7458972
104027,34,1,56,0.641922
