Country_Name,CO2 emissions (metric tons per capita),Access to electricity (% of population),Fossil fuel energy consumption (% of total),Energy use (metric tonne of oil equivalent per capita),Population density (people per sq. km of land area),Adjusted net national income per capita (current US$),Oil rents (% of GDP)
Albania,1.607038,100,66.48668,0.77034,109.9083,3.803508,4.519893
Algeria,3.428472,100,99.88748,1.227723,15.71936,4.146857,31.90615
Angola,1.430873,37,44.1787,0.689051,18.19654,3.198112,63.28947
Argentina,4.744178,99.8,90.65766,1.924373,15.3818,12.28312,5.124097
Armenia,1.868611,100,77.33294,1.009761,105.898,3.708858,0
Australia,17.70408,100,95.51006,5.964627,2.958522,52.30305,1.445877
Austria,9.027746,100,76.99801,4.104071,102.1322,43.00123,0.124556
Azerbaijan,4.6163,100,98.4767,1.599961,112.4608,4.448778,62.16753
"Bahamas, The",6.829321,100,0,2.11394,37.2016,22.00824,0
Bahrain,22.15391,97.69783,99.99999,11.94898,1731.918,13.93301,22.57007
Bangladesh,0.372017,59.6,72.9694,0.213426,1192.728,0.83034,0.197757
Barbados,5.871114,90.87544,0,1.452088,654.8372,15.24339,0.741439
Belarus,6.68251,100,93.18677,3.222618,47.64088,5.758513,1.967286
Belgium,10.3351,100,75.0225,5.606219,367.5114,40.50265,0
Belize,1.721709,100,0,0.596509,14.76138,3.314268,8.378282
Benin,0.541771,38.4,42.22297,0.388517,89.12551,0.744053,0
Bhutan,0.766206,75.56256,0,0.358049,19.51127,1.785872,0
Bolivia,1.599499,90.5,85.9494,0.7581,9.451456,1.928005,8.932645
Botswana,2.555293,53.24,67.0172,1.066446,3.763383,5.919364,0
Brazil,2.191394,99.5,56.54666,1.391909,24.2161,10.9508,3.235634
Brunei Darussalam,26.33827,76.16138,100,9.695714,76.94725,26.2806,39.36549
Bulgaria,6.916687,100,77.72066,2.666111,71.24356,6.307779,0.033632
Cabo Verde,0.859061,70.56256,0,0.214014,124.2854,2.990289,0
Cambodia,0.308073,31.1,34.01528,0.389714,84.02592,0.785476,0
Cameroon,0.332458,53.7,31.16396,0.389343,45.81982,1.073949,11.56769
Canada,17.42608,100,74.88653,8.365201,3.821569,41.7109,4.579985
Chile,4.616445,99.6,77.60667,2.139764,23.38627,11.37832,0.0636
China,6.710302,100,88.17761,2.07912,143.8714,5.223583,2.663694
Colombia,1.711391,97,77.30713,0.67953,42.25418,6.039628,8.499032
Comoros,0.220233,69.3,0,0.066265,394.2294,0.673368,0
"Congo, Dem. Rep.",0.050303,16.4,4.111614,0.309807,31.00556,0.241793,3.307986
"Congo, Rep.",0.538098,41.6,41.51816,0.55225,12.55106,0.321278,73.33453
Costa Rica,1.880065,99.5,49.06389,1.035297,91.15057,8.824136,0
Cote d'Ivoire,0.431562,58.9,25.39126,0.598625,66.36051,1.147247,7.774913
Croatia,5.5005,100,86.59565,2.102146,79.37813,12.80691,0.65624
Cuba,3.392292,100,88.76115,1.116627,106.5546,5.297179,2.695588
Cyprus,7.929771,100,97.50689,2.398687,122.2189,22.0315,0
Czech Republic,11.9743,100,83.67512,4.491516,136.0972,16.48615,0.077368
Denmark,10.11291,100,86.63662,3.728171,131.7835,51.21532,2.499624
Djibouti,0.622347,53.26256,0,0.181256,36.80194,0.893535,0
Dominica,2.123695,92.66676,0,0.607388,95.58,6.627362,0
Dominican Republic,2.241251,98,87.16557,0.763756,210.1622,5.428007,0
Ecuador,2.355257,97.2,89.82541,0.943755,62.08525,4.407357,25.30998
"Egypt, Arab Rep.",2.635115,100,96.45831,0.919068,86.05244,2.714149,12.96567
El Salvador,1.16569,93.7,47.82812,0.793304,293.0614,3.385201,0
Equatorial Guinea,8.907242,66,0,2.641942,27.58392,1.683777,74.02347
Eritrea,0.182857,36.0768,34.40925,0.181796,48.43795,0.404232,0
Estonia,14.05609,100,31.41139,4.243648,31.95978,14.49164,0
Ethiopia,0.083943,26.56256,5.213151,0.492037,92.19121,0.377893,0
Fiji,1.659882,59.32891,0,0.703317,47.84663,3.882007,0
Finland,12.57064,100,51.5612,7.093267,17.81556,43.8037,0
France,6.18161,100,52.2563,4.290505,119.877,38.58803,0.020607
Gabon,1.57829,89.3,41.99894,1.401149,6.261843,4.876589,49.97885
"Gambia, The",0.279411,34.5268,0,0.086565,178.568,0.463059,0
Georgia,2.046896,100,74.46282,0.968766,78.56643,3.617623,0.347964
Germany,9.782471,100,81.85342,4.204798,236.4647,38.96342,0.049795
