Entity,Year,GoldProduction
World,1900,366
World,1901,371
World,1902,413
World,1903,457
World,1904,493
World,1905,542
World,1906,584
World,1907,582
World,1908,622
World,1909,639
World,1910,654
World,1911,662
World,1912,695
World,1913,712
World,1914,667
World,1915,699
World,1916,674
World,1917,619
World,1918,563
World,1919,534
World,1920,494
World,1921,486
World,1922,471
World,1923,540
World,1924,571
World,1925,575
World,1926,589
World,1927,589
World,1928,606
World,1929,611
World,1930,644
World,1931,690
World,1932,751
World,1933,773
World,1934,824
World,1935,897
World,1936,1010
World,1937,1062
World,1938,1145
World,1939,1196
World,1940,1301
World,1941,1113
World,1942,977
World,1943,765
World,1944,678
World,1945,651
World,1946,668
World,1947,680
World,1948,694
World,1949,726
World,1950,748
World,1951,731
World,1952,750
World,1953,748
World,1954,792
World,1955,831
World,1956,866
World,1957,903
World,1958,928
World,1959,996
World,1960,1042
World,1961,1076
World,1962,1149
World,1963,1198
World,1964,1241
World,1965,1275
World,1966,1275
World,1967,1233
World,1968,1242
World,1969,1248
World,1970,1623
World,1971,1603
World,1972,1559
World,1973,1515
World,1974,1419
World,1975,1353
World,1976,1391
World,1977,1226
World,1978,1236
World,1979,1226
World,1980,1224
World,1981,1248
World,1982,1312
World,1983,1396
World,1984,1417
World,1985,1483
World,1986,1545
World,1987,1602
World,1988,1760
World,1989,1966
World,1990,2098
World,1991,2125
World,1992,2241
World,1993,2297
World,1994,2218
World,1995,2195
World,1996,2249
World,1997,2408
World,1998,2481
World,1999,2543
World,2000,2528
World,2001,2557
World,2002,2503
World,2003,2516
World,2004,2411
World,2005,2446
World,2006,2396
World,2007,2331
World,2008,2285
World,2009,2481
World,2010,2586
