ID,LON,LAT,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,22.15,40.13,107.5,87.9,91,75.6,95.7,58.1,59.4,47.7,51.4,80.8,114.5,118
2,22.08,39.98,62.1,54.7,67.5,44.4,58.5,32.8,47.8,21,34.4,52,68.9,71.4
3,21.28,39.78,128.5,97.3,90.2,93.8,73.5,40.3,27.9,25.5,44.9,122.1,146.4,143.3
4,21.57,39.87,71.2,61.9,56.7,74.7,69.3,29,26.7,28.4,28.1,79.4,104.2,71.1
5,22.18,39.9,58.2,46.7,56.1,44,66.2,39.3,43.4,25.7,49.9,52.9,68.9,62.3
6,22.6,39.9,101.9,61.6,98.5,60.9,56.8,36.7,18.9,23.1,54.2,96.7,95.6,90.4
7,21.5,39.75,75.2,77.5,72.6,65.9,66.2,26.3,17.9,24.5,16.2,100,110.4,69.9
8,21.65,39.73,68.6,35.9,44.3,80.9,56.6,22,17.3,19.9,19.8,101.6,110.5,60.9
9,21.63,39.7,74.8,93.3,66.9,74.7,71.4,33.1,22.1,24.5,12.6,83.9,136.4,112.3
10,21.8,39.78,59.5,66.5,66,72.4,72.2,40.8,27.7,25,23.7,69.8,93.3,76.7
11,21.85,39.67,54.5,52.8,59.3,70.6,64.5,32.7,31.6,34.9,23.6,83.6,95.4,65.8
12,22.98,39.78,79.4,79.4,103.5,69.5,75.2,40.1,47.2,27,51.3,86.4,103.1,87
13,22.28,39.73,61.4,51,56,36.7,52,27.9,37.4,19.7,45.9,53,61,63.6
14,22.65,39.8,117.3,88.3,80.6,64.3,67.9,34.3,24.8,19.7,65.1,126,84.9,100.3
15,22.77,39.83,172,152,138,96,62,33,27,27,65,179,181,223
16,21.25,39.63,136.8,103.5,91,107,92.4,47.2,25.4,40.4,47.7,106.4,179.6,142.1
17,21.33,39.65,129.5,112.4,105.4,77.4,92.1,41.8,31.9,27,51.1,100.2,131.9,131
18,21.42,39.62,156.3,135.6,105.2,111.3,74.9,43.4,33.5,31.8,46.5,124.7,188.2,188.3
19,21.5,39.6,99.8,83.9,60.9,127.4,91.8,39.1,18.9,24.9,26.3,160.7,180.9,165.7
